,Unnamed: 0,drivewheels,wheelbase,length,width,height,curbweight,enginesize,bore,stroke,horsepower,citympg,highwaympg,price
0,0,2,88.6,0.811148486,0.890277778,48.8,2548,130,3.47,2.68,111,21,27,13495
1,1,2,88.6,0.811148486,0.890277778,48.8,2548,130,3.47,2.68,111,21,27,16500
2,2,2,94.5,0.822681403,0.909722222,52.4,2823,152,2.68,3.47,154,19,26,16500
3,3,1,99.8,0.848630466,0.919444444,54.3,2337,109,3.19,3.4,102,24,30,13950
4,4,0,99.4,0.848630466,0.922222222,54.3,2824,136,3.19,3.4,115,18,22,17450
5,5,1,99.8,0.851994234,0.920833333,53.1,2507,136,3.19,3.4,110,19,25,15250
6,6,1,105.8,0.925997117,0.991666667,55.7,2844,136,3.19,3.4,110,19,25,17710
7,7,1,105.8,0.925997117,0.991666667,55.7,2954,136,3.19,3.4,110,19,25,18920
8,8,1,105.8,0.925997117,0.991666667,55.9,3086,131,3.13,3.4,140,17,20,23875
9,9,2,101.2,0.849591543,0.9,54.3,2395,108,3.5,2.8,101,23,29,16430
10,10,2,101.2,0.849591543,0.9,54.3,2395,108,3.5,2.8,101,23,29,16925
11,11,2,101.2,0.849591543,0.9,54.3,2710,164,3.31,3.19,121,21,28,20970
12,12,2,101.2,0.849591543,0.9,54.3,2765,164,3.31,3.19,121,21,28,21105
13,13,2,103.5,0.908217203,0.929166667,55.7,3055,164,3.31,3.19,121,20,25,24565
14,14,2,103.5,0.908217203,0.929166667,55.7,3230,209,3.62,3.39,182,16,22,30760
15,15,2,103.5,0.931283037,0.943055556,53.7,3380,209,3.62,3.39,182,16,22,41315
16,16,2,110,0.946660259,0.984722222,56.3,3505,209,3.62,3.39,182,15,20,36880
17,17,1,88.4,0.678039404,0.8375,53.2,1488,61,2.91,3.03,48,47,53,5151
18,18,1,94.5,0.749159058,0.883333333,52,1874,90,3.03,3.11,70,38,43,6295
19,19,1,94.5,0.763094666,0.883333333,52,1909,90,3.03,3.11,70,38,43,6575
20,20,1,93.7,0.755886593,0.886111111,50.8,1876,90,2.97,3.23,68,37,41,5572
21,21,1,93.7,0.755886593,0.886111111,50.8,1876,90,2.97,3.23,68,31,38,6377
22,22,1,93.7,0.755886593,0.886111111,50.8,2128,98,3.03,3.39,102,24,30,7957
23,23,1,93.7,0.755886593,0.886111111,50.6,1967,90,2.97,3.23,68,31,38,6229
24,24,1,93.7,0.755886593,0.886111111,50.6,1989,90,2.97,3.23,68,31,38,6692
25,25,1,93.7,0.755886593,0.886111111,50.6,1989,90,2.97,3.23,68,31,38,7609
26,26,1,93.7,0.755886593,0.886111111,50.6,2191,98,3.03,3.39,102,24,30,8558
27,27,1,103.3,0.839019702,0.897222222,59.8,2535,122,3.34,3.46,88,24,30,8921
28,28,1,95.9,0.832292167,0.920833333,50.2,2811,156,3.6,3.9,145,19,24,12964
29,29,1,86.6,0.694858241,0.8875,50.8,1713,92,2.91,3.41,58,49,54,6479
30,30,1,86.6,0.694858241,0.8875,50.8,1819,92,2.91,3.41,76,31,38,6855
31,31,1,93.7,0.720807304,0.888888889,52.6,1837,79,2.91,3.07,60,38,42,5399
32,32,1,93.7,0.720807304,0.888888889,52.6,1940,92,2.91,3.41,76,30,34,6529
33,33,1,93.7,0.720807304,0.888888889,52.6,1956,92,2.91,3.41,76,30,34,7129
34,34,1,96.5,0.785199423,0.888888889,54.5,2010,92,2.91,3.41,76,30,34,7295
35,35,1,96.5,0.754925517,0.8875,58.3,2024,92,2.92,3.41,76,30,34,7295
36,36,1,96.5,0.80490149,0.905555556,53.3,2236,110,3.15,3.58,86,27,33,7895
37,37,1,96.5,0.80490149,0.905555556,53.3,2289,110,3.15,3.58,86,27,33,9095
38,38,1,96.5,0.842864008,0.905555556,54.1,2304,110,3.15,3.58,86,27,33,8845
39,39,1,96.5,0.842864008,0.868055556,54.1,2372,110,3.15,3.58,86,27,33,10295
40,40,1,96.5,0.842864008,0.905555556,54.1,2465,110,3.15,3.58,101,24,28,12945
41,41,1,96.5,0.812590101,0.916666667,51,2293,110,3.15,3.58,100,25,31,10345
42,42,2,94.3,0.820278712,0.858333333,53.5,2337,111,3.31,3.23,78,24,29,6785
43,43,2,96,0.829408938,0.905555556,51.4,2734,119,3.43,3.23,90,24,29,11048
44,44,2,113,0.959154253,0.966666667,52.8,4066,258,3.63,4.17,176,15,19,32250
45,45,2,113,0.959154253,0.966666667,52.8,4066,258,3.63,4.17,176,15,19,35550
46,46,2,102,0.921191735,0.980555556,47.8,3950,326,3.54,2.76,262,13,17,36000
47,47,1,93.1,0.764536281,0.891666667,54.1,1890,91,3.03,3.15,68,30,31,5195
48,48,1,93.1,0.764536281,0.891666667,54.1,1900,91,3.03,3.15,68,31,38,6095
49,49,1,93.1,0.764536281,0.891666667,54.1,1905,91,3.03,3.15,68,31,38,6795
50,50,1,93.1,0.801537722,0.891666667,54.1,1945,91,3.03,3.15,68,31,38,6695
51,51,1,93.1,0.801537722,0.891666667,54.1,1950,91,3.08,3.15,68,31,38,7395
52,52,2,95.3,0.812109563,0.9125,49.6,2380,70,3.329751244,0,101,17,23,10945
53,53,2,95.3,0.812109563,0.9125,49.6,2380,70,3.329751244,0,101,17,23,11845
54,54,2,95.3,0.812109563,0.9125,49.6,2385,70,3.329751244,0,101,17,23,13645
55,55,2,95.3,0.812109563,0.9125,49.6,2500,80,3.329751244,0,135,16,23,15645
56,56,1,98.8,0.854396925,0.923611111,53.7,2385,122,3.39,3.39,84,26,32,8845
57,57,1,98.8,0.854396925,0.923611111,55.5,2410,122,3.39,3.39,84,26,32,8495
58,58,1,98.8,0.854396925,0.923611111,53.7,2385,122,3.39,3.39,84,26,32,10595
59,59,1,98.8,0.854396925,0.923611111,55.5,2410,122,3.39,3.39,84,26,32,10245
60,60,1,98.8,0.854396925,0.923611111,55.5,2443,122,3.39,3.39,64,36,42,10795
61,61,1,98.8,0.854396925,0.923611111,55.5,2425,122,3.39,3.39,84,26,32,11245
62,62,2,104.9,0.840941855,0.918055556,54.4,2670,140,3.76,3.16,120,19,27,18280
63,63,2,104.9,0.840941855,0.918055556,54.4,2700,134,3.43,3.64,72,31,39,18344
64,64,2,110,0.917347429,0.976388889,56.5,3515,183,3.58,3.64,123,22,25,25552
65,65,2,110,0.917347429,0.976388889,58.7,3750,183,3.58,3.64,123,22,25,28248
66,66,2,106.7,0.90100913,0.976388889,54.9,3495,183,3.58,3.64,123,22,25,28176
67,67,2,115.6,0.973570399,0.995833333,56.3,3770,183,3.58,3.64,123,22,25,31600
68,68,2,115.6,0.973570399,0.995833333,56.5,3740,234,3.46,3.1,155,16,18,34184
69,69,2,96.6,0.86641038,0.979166667,50.8,3685,234,3.46,3.1,155,16,18,35056
70,70,2,120.9,1,0.995833333,56.7,3900,308,3.8,3.35,184,14,16,40960
71,71,2,112,0.9572321,1,55.4,3715,304,3.8,3.35,184,14,16,45400
72,72,2,102.7,0.857280154,0.944444444,54.8,2910,140,3.78,3.12,175,19,24,16503
73,73,1,93.7,0.755886593,0.894444444,50.8,1918,92,2.97,3.23,68,37,41,5389
74,74,1,93.7,0.755886593,0.894444444,50.8,1944,92,2.97,3.23,68,31,38,6189
75,75,1,93.7,0.755886593,0.894444444,50.8,2004,92,2.97,3.23,68,31,38,6669
76,76,1,93,0.755886593,0.886111111,50.8,2145,98,3.03,3.39,102,24,30,7689
77,77,1,96.3,0.831331091,0.908333333,49.4,2370,110,3.17,3.46,116,23,30,9959
78,78,1,96.3,0.831331091,0.908333333,49.4,2328,122,3.35,3.46,88,25,32,8499
79,79,1,95.9,0.832292167,0.920833333,50.2,2833,156,3.58,3.86,145,19,24,12629
80,80,1,95.9,0.832292167,0.920833333,50.2,2921,156,3.59,3.86,145,19,24,14869
81,81,1,95.9,0.832292167,0.920833333,50.2,2926,156,3.59,3.86,145,19,24,14489
82,82,1,96.3,0.828447862,0.908333333,51.6,2365,122,3.35,3.46,88,25,32,6989
83,83,1,96.3,0.828447862,0.908333333,51.6,2405,122,3.35,3.46,88,25,32,8189
84,84,1,96.3,0.828447862,0.908333333,51.6,2403,110,3.17,3.46,116,23,30,9279
85,85,1,96.3,0.828447862,0.908333333,51.6,2403,110,3.17,3.46,116,23,30,9279
86,86,1,94.5,0.794329649,0.886111111,54.5,1889,97,3.15,3.29,69,31,37,5499
87,87,1,94.5,0.794329649,0.886111111,54.5,2017,103,2.99,3.47,55,45,50,7099
88,88,1,94.5,0.794329649,0.886111111,54.5,1918,97,3.15,3.29,69,31,37,6649
89,89,1,94.5,0.794329649,0.886111111,54.5,1938,97,3.15,3.29,69,31,37,6849
90,90,1,94.5,0.817876021,0.886111111,53.5,2024,97,3.15,3.29,69,31,37,7349
91,91,1,94.5,0.794329649,0.886111111,54.5,1951,97,3.15,3.29,69,31,37,7299
92,92,1,94.5,0.795771264,0.886111111,53.3,2028,97,3.15,3.29,69,31,37,7799
93,93,1,94.5,0.794329649,0.886111111,54.5,1971,97,3.15,3.29,69,31,37,7499
94,94,1,94.5,0.817876021,0.886111111,53.5,2037,97,3.15,3.29,69,31,37,7999
95,95,1,95.1,0.780394041,0.886111111,53.3,2008,97,3.15,3.29,69,31,37,8249
96,96,1,97.2,0.833253244,0.905555556,54.7,2324,120,3.33,3.47,97,27,34,8949
97,97,1,97.2,0.833253244,0.905555556,54.7,2302,120,3.33,3.47,97,27,34,9549
98,98,1,100.4,0.873137914,0.923611111,55.1,3095,181,3.43,3.27,152,17,22,13499
99,99,1,100.4,0.887073522,0.923611111,56.1,3296,181,3.43,3.27,152,17,22,14399
100,100,1,100.4,0.887073522,0.923611111,55.1,3060,181,3.43,3.27,152,19,25,13499
101,101,2,91.3,0.820278712,0.943055556,49.7,3071,181,3.43,3.27,160,19,25,17199
102,102,2,91.3,0.820278712,0.943055556,49.7,3139,181,3.43,3.27,200,17,23,19699
103,103,2,99.2,0.857760692,0.943055556,49.7,3139,181,3.43,3.27,160,19,25,18399
104,104,2,107.9,0.897164825,0.95,56.7,3020,120,3.46,3.19,97,19,24,11900
105,105,2,107.9,0.897164825,0.95,56.7,3197,152,3.7,3.52,95,28,33,13200
106,106,2,114.2,0.955790485,0.95,58.7,3230,120,3.46,3.19,97,19,24,12440
107,107,2,114.2,0.955790485,0.95,58.7,3430,152,3.7,3.52,95,25,25,13860
108,108,2,107.9,0.897164825,0.95,56.7,3075,120,3.46,2.19,95,19,24,15580
109,109,2,107.9,0.897164825,0.95,56.7,3252,152,3.7,3.52,95,28,33,16900
110,110,2,114.2,0.955790485,0.95,56.7,3285,120,3.46,2.19,95,19,24,16695
111,111,2,114.2,0.955790485,0.95,58.7,3485,152,3.7,3.52,95,25,25,17075
112,112,2,107.9,0.897164825,0.95,56.7,3075,120,3.46,3.19,97,19,24,16630
113,113,2,107.9,0.897164825,0.95,56.7,3252,152,3.7,3.52,95,28,33,17950
114,114,2,108,0.897164825,0.948611111,56,3130,134,3.61,3.21,142,18,24,18150
115,115,1,93.7,0.755886593,0.886111111,50.8,1918,90,2.97,3.23,68,37,41,5572
116,116,1,93.7,0.755886593,0.886111111,50.8,2128,98,3.03,3.39,102,24,30,7957
117,117,1,93.7,0.755886593,0.886111111,50.6,1967,90,2.97,3.23,68,31,38,6229
118,118,1,93.7,0.803940413,0.886111111,50.8,1989,90,2.97,3.23,68,31,38,6692
119,119,1,93.7,0.803940413,0.886111111,50.8,2191,98,2.97,3.23,68,31,38,7609
120,120,1,103.3,0.839019702,0.897222222,59.8,2535,122,3.35,3.46,88,24,30,8921
121,121,2,95.9,0.832292167,0.920833333,50.2,2818,156,3.59,3.86,145,19,24,12764
122,122,2,94.5,0.811629025,0.948611111,50.2,2778,151,3.94,3.11,143,19,27,22018
123,123,2,89.5,0.811629025,0.902777778,51.6,2756,194,3.74,2.9,207,17,25,32528
124,124,2,89.5,0.811629025,0.902777778,51.6,2756,194,3.74,2.9,207,17,25,34028
125,125,2,89.5,0.811629025,0.902777778,51.6,2800,194,3.74,2.9,207,17,25,37028
126,126,1,96.1,0.872176838,0.923611111,55.2,2579,132,3.46,3.9,104.2561576,23,31,9295
127,127,1,96.1,0.849591543,0.925,50.5,2460,132,3.46,3.9,104.2561576,23,31,9895
128,128,1,99.1,0.896684286,0.923611111,56.1,2658,121,3.54,3.07,110,21,28,11850
129,129,1,99.1,0.896684286,0.923611111,56.1,2695,121,3.54,3.07,110,21,28,12170
130,130,1,99.1,0.896684286,0.923611111,56.1,2707,121,2.54,2.07,110,21,28,15040
131,131,1,99.1,0.896684286,0.923611111,56.1,2758,121,3.54,3.07,110,21,28,15510
132,132,1,99.1,0.896684286,0.923611111,56.1,2808,121,3.54,3.07,160,19,26,18150
133,133,1,99.1,0.896684286,0.923611111,56.1,2847,121,3.54,3.07,160,19,26,18620
134,134,1,93.7,0.75396444,0.880555556,53.7,2050,97,3.62,2.36,69,31,36,5118
135,135,1,93.7,0.758769822,0.883333333,53.7,2120,108,3.62,2.64,73,26,31,7053
136,136,0,93.3,0.755886593,0.886111111,55.7,2240,108,3.62,2.64,73,26,31,7603
137,137,1,97.2,0.826525709,0.908333333,52.5,2145,108,3.62,2.64,82,32,37,7126
138,138,1,97.2,0.826525709,0.908333333,52.5,2190,108,3.62,2.64,82,28,33,7775
139,139,1,97.2,0.826525709,0.908333333,52.5,2340,108,3.62,2.64,94,26,32,9960
140,140,0,97,0.826525709,0.908333333,54.3,2385,108,3.62,2.64,82,24,25,9233
141,141,0,97,0.826525709,0.908333333,54.3,2510,108,3.62,2.64,111,24,29,11259
142,142,1,97,0.833733782,0.908333333,53,2290,108,3.62,2.64,82,28,32,7463
143,143,1,97,0.833733782,0.908333333,53,2455,108,3.62,2.64,94,25,31,10198
144,144,0,96.9,0.83421432,0.908333333,54.9,2420,108,3.62,2.64,82,23,29,8013
145,145,0,96.9,0.83421432,0.908333333,54.9,2650,108,3.62,2.64,111,23,23,11694
146,146,1,95.7,0.762614128,0.883333333,54.5,1985,92,3.05,3.03,62,35,39,5348
147,147,1,95.7,0.762614128,0.883333333,54.5,2040,92,3.05,3.03,62,31,38,6338
148,148,1,95.7,0.762614128,0.883333333,54.5,2015,92,3.05,3.03,62,31,38,6488
149,149,1,95.7,0.81547333,0.883333333,59.1,2280,92,3.05,3.03,62,31,37,6918
150,150,0,95.7,0.81547333,0.883333333,59.1,2290,92,3.05,3.03,62,27,32,7898
151,151,0,95.7,0.81547333,0.883333333,59.1,3110,92,3.05,3.03,62,27,32,8778
152,152,1,95.7,0.799135031,0.894444444,53,2081,98,3.19,3.03,70,30,37,6938
153,153,1,95.7,0.799135031,0.894444444,52.8,2109,98,3.19,3.03,70,30,37,7198
154,154,1,95.7,0.799135031,0.894444444,53,2275,110,3.27,3.35,56,34,36,7898
155,155,1,95.7,0.799135031,0.894444444,52.8,2275,110,3.27,3.35,56,38,47,7788
156,156,1,95.7,0.799135031,0.894444444,53,2094,98,3.19,3.03,70,38,47,7738
157,157,1,95.7,0.799135031,0.894444444,52.8,2122,98,3.19,3.03,70,28,34,8358
158,158,1,95.7,0.799135031,0.894444444,52.8,2140,98,3.19,3.03,70,28,34,9258
159,159,2,94.5,0.810667948,0.888888889,52.6,2169,98,3.19,3.03,70,29,34,8058
160,160,2,94.5,0.810667948,0.888888889,52.6,2204,98,3.19,3.03,70,29,34,8238
161,161,2,94.5,0.810667948,0.888888889,52.6,2265,98,3.24,3.08,112,26,29,9298
162,162,2,94.5,0.810667948,0.888888889,52.6,2300,98,3.24,3.08,112,26,29,9538
163,163,2,98.4,0.846708313,0.911111111,52,2540,146,3.62,3.5,116,24,30,8449
164,164,2,98.4,0.846708313,0.911111111,52,2536,146,3.62,3.5,116,24,30,9639
165,165,2,98.4,0.846708313,0.911111111,52,2551,146,3.62,3.5,116,24,30,9989
166,166,2,98.4,0.846708313,0.911111111,52,2679,146,3.62,3.5,116,24,30,11199
167,167,2,98.4,0.846708313,0.911111111,52,2714,146,3.62,3.5,116,24,30,11549
168,168,2,98.4,0.846708313,0.911111111,53,2975,146,3.62,3.5,116,24,30,17669
169,169,1,102.4,0.843825084,0.923611111,54.9,2326,122,3.31,3.54,92,29,34,8948
170,170,1,102.4,0.843825084,0.923611111,54.9,2480,110,3.27,3.35,73,30,33,10698
171,171,1,102.4,0.843825084,0.923611111,53.9,2414,122,3.31,3.54,92,27,32,9988
172,172,1,102.4,0.843825084,0.923611111,54.9,2414,122,3.31,3.54,92,27,32,10898
173,173,1,102.4,0.843825084,0.923611111,53.9,2458,122,3.31,3.54,92,27,32,11248
174,174,2,102.9,0.881787602,0.940277778,52,2976,171,3.27,3.35,161,20,24,16558
175,175,2,102.9,0.881787602,0.940277778,52,3016,171,3.27,3.35,161,19,24,15998
176,176,2,104.5,0.902450745,0.923611111,54.1,3131,171,3.27,3.35,156,20,24,15690
177,177,2,104.5,0.902450745,0.923611111,54.1,3151,161,3.27,3.35,156,19,24,15750
178,178,1,97.3,0.825084094,0.909722222,55.7,2261,97,3.01,3.4,52,37,46,7775
179,179,1,97.3,0.825084094,0.909722222,55.7,2209,109,3.19,3.4,85,27,34,7975
180,180,1,97.3,0.825084094,0.909722222,55.7,2264,97,3.01,3.4,52,37,46,7995
181,181,1,97.3,0.825084094,0.909722222,55.7,2212,109,3.19,3.4,85,27,34,8195
182,182,1,97.3,0.825084094,0.909722222,55.7,2275,109,3.19,3.4,85,27,34,8495
183,183,1,97.3,0.825084094,0.909722222,55.7,2319,97,3.01,3.4,68,37,42,9495
184,184,1,97.3,0.825084094,0.909722222,55.7,2300,109,3.19,3.4,100,26,32,9995
185,185,1,94.5,0.765497357,0.891666667,55.6,2254,109,3.19,3.4,90,24,29,11595
186,186,1,94.5,0.796251802,0.888888889,51.4,2221,109,3.19,3.4,90,24,29,9980
187,187,1,100.4,0.865929841,0.929166667,55.1,2661,136,3.19,3.4,110,19,24,13295
188,188,1,100.4,0.865929841,0.929166667,55.1,2579,97,3.01,3.4,68,33,38,13845
189,189,1,100.4,0.879865449,0.929166667,55.1,2563,109,3.19,3.4,88,25,31,12290
190,190,2,104.3,0.907256127,0.933333333,56.2,2912,141,3.78,3.15,114,23,28,12940
191,191,2,104.3,0.907256127,0.933333333,57.5,3034,141,3.78,3.15,114,23,28,13415
192,192,2,104.3,0.907256127,0.933333333,56.2,2935,141,3.78,3.15,114,24,28,15985
193,193,2,104.3,0.907256127,0.933333333,57.5,3042,141,3.78,3.15,114,24,28,16515
194,194,2,104.3,0.907256127,0.933333333,56.2,3045,130,3.62,3.15,162,17,22,18420
195,195,2,104.3,0.907256127,0.933333333,57.5,3157,130,3.62,3.15,162,17,22,18950
196,196,2,109.1,0.907256127,0.956944444,55.5,2952,141,3.78,3.15,114,23,28,16845
197,197,2,109.1,0.907256127,0.955555556,55.5,3049,141,3.78,3.15,160,19,25,19045
198,198,2,109.1,0.907256127,0.956944444,55.5,3012,173,3.58,2.87,134,18,23,21485
199,199,2,109.1,0.907256127,0.956944444,55.5,3217,145,3.01,3.4,106,26,27,22470
200,200,2,109.1,0.907256127,0.956944444,55.5,3062,141,3.78,3.15,114,19,25,22625
